timestamp,test_name,t0_ms,bfd_detect_ms,bird_new_route_ms,bird_missing_ms,kernel_event_ms,route_get_new_ms,route_get_missing_ms,protocol_not_running_ms,first_loss_ms,traffic_recovery_ms,traffic_outage_ms,ping_tx,ping_rx,ping_loss_percent,tcpdump_packet_lines,old_next_hop,new_next_hop
20260624_231809,ospf_core_failure_gold_timeline,1782323301894,182,NA,NA,803,NA,NA,NA,NA,NA,NA,296,296,0,42,10.0.23.2,10.0.13.2
20260624_232335,ospf_core_failure_gold_timeline,1782323627528,37,241,NA,169,44,NA,NA,3,212,209,296,292,1.35135,44,10.0.34.3,10.0.23.2
20260624_233209,ospf_core_failure_gold_timeline,1782324141978,28,666,NA,720,38,NA,NA,15,762,747,708,673,4.9435,45,10.0.34.3,10.0.23.2
20260624_233313,ospf_core_failure_gold_timeline,1782324206100,90,658,NA,598,90,NA,NA,14,634,620,711,682,4.07876,38,10.0.34.3,10.0.23.2
20260624_233417,ospf_core_failure_gold_timeline,1782324270157,99,486,NA,542,66,NA,NA,11,589,578,711,684,3.79747,52,10.0.34.3,10.0.23.2
20260624_233521,ospf_core_failure_gold_timeline,1782324333710,40,903,NA,987,45,NA,NA,19,1029,1010,709,662,6.62906,47,10.0.34.3,10.0.23.2
20260624_233625,ospf_core_failure_gold_timeline,1782324397837,125,810,NA,861,82,NA,NA,14,892,878,712,671,5.75843,45,10.0.34.3,10.0.23.2
20260624_234800,ospf_core_failure_gold_timeline,1782325093139,68,499,NA,563,86,NA,NA,16,595,579,711,684,3.79747,46,10.0.34.3,10.0.23.2
20260624_234924,ospf_core_failure_gold_timeline,1782325177031,61,656,NA,670,90,NA,NA,4,712,708,710,677,4.64789,81,10.0.34.3,10.0.23.2
20260624_235048,ospf_core_failure_gold_timeline,1782325261056,115,709,NA,641,116,NA,NA,13,679,666,708,677,4.37853,39,10.0.34.3,10.0.23.2
20260624_235212,ospf_core_failure_gold_timeline,1782325345228,60,479,NA,471,68,NA,NA,18,508,490,711,688,3.23488,51,10.0.34.3,10.0.23.2
20260624_235336,ospf_core_failure_gold_timeline,1782325428918,42,718,NA,780,60,NA,NA,14,829,815,710,672,5.35211,50,10.0.34.3,10.0.23.2
20260624_235500,ospf_core_failure_gold_timeline,1782325512978,25,763,NA,722,32,NA,NA,19,752,733,711,677,4.782,47,10.0.34.3,10.0.23.2
20260624_235624,ospf_core_failure_gold_timeline,1782325597001,80,644,NA,710,66,NA,NA,16,742,726,708,674,4.80226,45,10.0.34.3,10.0.23.2
20260624_235748,ospf_core_failure_gold_timeline,1782325681036,62,647,NA,667,70,NA,NA,19,705,686,712,680,4.49438,39,10.0.34.3,10.0.23.2
20260624_235912,ospf_core_failure_gold_timeline,1782325765060,43,616,NA,639,50,NA,NA,20,682,662,710,679,4.3662,51,10.0.34.3,10.0.23.2
20260625_000036,ospf_core_failure_gold_timeline,1782325849169,67,515,NA,546,79,NA,NA,24,567,543,711,686,3.51617,50,10.0.34.3,10.0.23.2
20260625_002557,ospf_core_failure_gold_timeline,1782327370409,81,830,NA,761,119,NA,NA,15,848,833,712,673,5.47753,50,10.0.34.3,10.0.23.2
20260625_003501,ospf_core_failure_gold_timeline,1782327913918,128,285,NA,247,130,NA,NA,11,351,340,712,696,2.24719,52,10.0.34.3,10.0.23.2
20260625_003625,ospf_core_failure_gold_timeline,1782327998222,59,973,NA,952,143,NA,NA,16,1050,1034,711,663,6.75105,47,10.0.34.3,10.0.23.2
20260625_003749,ospf_core_failure_gold_timeline,1782328082550,140,582,NA,618,143,NA,NA,3,713,710,711,678,4.64135,47,10.0.34.3,10.0.23.2
20260625_003914,ospf_core_failure_gold_timeline,1782328166894,114,266,NA,278,125,NA,NA,2,372,370,713,696,2.38429,47,10.0.34.3,10.0.23.2
20260625_004038,ospf_core_failure_gold_timeline,1782328251255,93,1023,NA,912,135,NA,NA,18,1008,990,711,665,6.46976,41,10.0.34.3,10.0.23.2
