timestamp,test_name,mode,failure_type,t0_ms,bfd_present,bfd_detect_ms,kernel_event_ms,route_get_switch_ms,bird_route_survivor_only_ms,routeget_final_state,first_loss_ms,traffic_recovery_ms,traffic_outage_ms,traffic_tx,traffic_rx,traffic_lost,traffic_loss_percent,ospf_packet_lines,bfd_packet_lines,bird_event_lines_after_t0,failed_next_hop,survivor_next_hop
20260625_233353,ospf_ecmp_silent_gold_no_bfd,no_bfd,silent_tc_netem_loss_100,1782410651430,no,78,17888,17845,17854,failed_nh,160,17899,17739,1521,690,831,54.6351,0,0,294,10.0.34.3,10.0.23.2
20260625_233603,ospf_ecmp_silent_gold_with_bfd,with_bfd,silent_tc_netem_loss_100,1782410780599,yes,709,1506,1510,1514,failed_nh,172,1502,1330,1518,1456,62,4.08432,0,2604,2816,10.0.34.3,10.0.23.2
20260625_234227,ospf_ecmp_silent_gold_with_bfd,with_bfd,silent_tc_netem_loss_100,1782411165558,yes,834,1548,1501,1541,failed_nh,162,1544,1382,1516,1451,65,4.2876,0,2603,2815,10.0.34.3,10.0.23.2
20260625_234414,ospf_ecmp_silent_gold_with_bfd,with_bfd,silent_tc_netem_loss_100,1782411271914,yes,758,1197,1180,1183,failed_nh,160,1206,1046,1519,1470,49,3.22581,0,2570,2790,10.0.34.3,10.0.23.2
20260625_234600,ospf_ecmp_silent_gold_with_bfd,with_bfd,silent_tc_netem_loss_100,1782411378166,yes,689,941,943,868,failed_nh,136,949,813,1514,1476,38,2.50991,0,2537,2798,10.0.34.3,10.0.23.2
20260625_235023,ospf_ecmp_silent_gold_no_bfd,no_bfd,silent_tc_netem_loss_100,1782411641239,no,96,17317,17249,17254,failed_nh,112,17331,17219,1515,709,806,53.2013,0,0,291,10.0.34.3,10.0.23.2
20260625_235209,ospf_ecmp_silent_gold_no_bfd,no_bfd,silent_tc_netem_loss_100,1782411747206,no,94,16353,16395,16394,failed_nh,122,12987,12865,1099,624,475,43.2211,0,0,288,10.0.34.3,10.0.23.2
20260625_235355,ospf_ecmp_silent_gold_no_bfd,no_bfd,silent_tc_netem_loss_100,1782411853274,no,79,18284,18270,18272,failed_nh,133,9319,9186,967,658,309,31.9545,0,0,269,10.0.34.3,10.0.23.2
20260629_162213,ospf_ecmp_silent_gold_no_bfd,no_bfd,silent_tc_netem_loss_100,1782730351013,no,35,18596,18554,18567,failed_nh,110,18598,18488,1516,649,867,57.19,0,0,0,10.0.34.3,10.0.23.2
20260629_162312,ospf_ecmp_silent_gold_no_bfd,no_bfd,silent_tc_netem_loss_100,1782730409888,no,70,19720,19711,19712,failed_nh,127,11573,11446,964,550,414,42.9461,0,0,0,10.0.34.3,10.0.23.2
20260629_162411,ospf_ecmp_silent_gold_no_bfd,no_bfd,silent_tc_netem_loss_100,1782730468831,no,60,16777,16728,16744,failed_nh,133,16785,16652,1514,736,778,51.3871,0,0,0,10.0.34.3,10.0.23.2
20260629_162510,ospf_ecmp_silent_gold_no_bfd,no_bfd,silent_tc_netem_loss_100,1782730527708,no,42,16901,16942,16944,failed_nh,115,13048,12933,1101,624,477,43.3242,0,0,0,10.0.34.3,10.0.23.2
20260629_162609,ospf_ecmp_silent_gold_no_bfd,no_bfd,silent_tc_netem_loss_100,1782730586657,no,73,17951,17941,17943,failed_nh,115,12980,12865,1098,625,473,43.0783,0,0,0,10.0.34.3,10.0.23.2
20260629_162708,ospf_ecmp_silent_gold_no_bfd,no_bfd,silent_tc_netem_loss_100,1782730645595,no,77,19014,18970,18970,failed_nh,123,11385,11262,962,558,404,41.9958,0,0,0,10.0.34.3,10.0.23.2
20260629_162807,ospf_ecmp_silent_gold_no_bfd,no_bfd,silent_tc_netem_loss_100,1782730704509,no,60,20100,20132,20136,failed_nh,121,9815,9694,868,537,331,38.1336,0,0,0,10.0.34.3,10.0.23.2
20260629_162906,ospf_ecmp_silent_gold_no_bfd,no_bfd,silent_tc_netem_loss_100,1782730763472,no,42,16138,16093,16097,failed_nh,140,9220,9080,960,658,302,31.4583,0,0,0,10.0.34.3,10.0.23.2
20260629_163005,ospf_ecmp_silent_gold_no_bfd,no_bfd,silent_tc_netem_loss_100,1782730822361,no,97,17249,17268,17271,failed_nh,118,7163,7045,819,607,212,25.8852,0,0,0,10.0.34.3,10.0.23.2
20260629_163103,ospf_ecmp_silent_gold_no_bfd,no_bfd,silent_tc_netem_loss_100,1782730881304,no,61,18314,18305,18307,failed_nh,122,7100,6978,822,613,209,25.4258,0,0,0,10.0.34.3,10.0.23.2
20260629_163202,ospf_ecmp_silent_gold_no_bfd,no_bfd,silent_tc_netem_loss_100,1782730940196,no,65,19414,19438,19448,failed_nh,113,12208,12095,1005,569,436,43.3831,0,0,0,10.0.34.3,10.0.23.2
20260629_164638,ospf_ecmp_silent_gold_with_bfd,with_bfd,silent_tc_netem_loss_100,1782731815454,yes,684,1643,1702,1710,failed_nh,124,1659,1535,1516,1444,72,4.74934,0,2547,0,10.0.34.3,10.0.23.2
20260629_164737,ospf_ecmp_silent_gold_with_bfd,with_bfd,silent_tc_netem_loss_100,1782731874514,yes,695,1582,1610,1605,failed_nh,123,1600,1477,1513,1444,69,4.56048,0,2532,0,10.0.34.3,10.0.23.2
20260629_164836,ospf_ecmp_silent_gold_with_bfd,with_bfd,silent_tc_netem_loss_100,1782731933565,yes,676,1535,1605,1601,failed_nh,128,1540,1412,1514,1448,66,4.35931,0,2628,0,10.0.34.3,10.0.23.2
20260629_164935,ospf_ecmp_silent_gold_with_bfd,with_bfd,silent_tc_netem_loss_100,1782731992646,yes,641,1450,1442,1448,failed_nh,117,1460,1343,1515,1452,63,4.15842,0,2608,0,10.0.34.3,10.0.23.2
20260629_165034,ospf_ecmp_silent_gold_with_bfd,with_bfd,silent_tc_netem_loss_100,1782732051785,yes,735,1311,1305,1309,failed_nh,116,1312,1196,1515,1459,56,3.69637,0,2588,0,10.0.34.3,10.0.23.2
20260629_165133,ospf_ecmp_silent_gold_with_bfd,with_bfd,silent_tc_netem_loss_100,1782732110864,yes,740,1231,1194,1196,failed_nh,136,1230,1094,1514,1463,51,3.36856,0,2573,0,10.0.34.3,10.0.23.2
20260629_165232,ospf_ecmp_silent_gold_with_bfd,with_bfd,silent_tc_netem_loss_100,1782732169984,yes,681,1115,1127,1126,failed_nh,122,1130,1008,1513,1466,47,3.10641,0,2543,0,10.0.34.3,10.0.23.2
20260629_165331,ospf_ecmp_silent_gold_with_bfd,with_bfd,silent_tc_netem_loss_100,1782732229083,yes,658,1022,1073,1086,failed_nh,119,1024,905,1510,1468,42,2.78146,0,2522,0,10.0.34.3,10.0.23.2
20260629_165430,ospf_ecmp_silent_gold_with_bfd,with_bfd,silent_tc_netem_loss_100,1782732288138,yes,687,966,921,932,failed_nh,132,966,834,1514,1475,39,2.57596,0,2616,0,10.0.34.3,10.0.23.2
20260629_165529,ospf_ecmp_silent_gold_with_bfd,with_bfd,silent_tc_netem_loss_100,1782732347212,yes,700,884,928,928,failed_nh,138,883,745,1514,1479,35,2.31176,0,2597,0,10.0.34.3,10.0.23.2
20260629_165628,ospf_ecmp_silent_gold_with_bfd,with_bfd,silent_tc_netem_loss_100,1782732406224,yes,704,873,928,948,failed_nh,115,885,770,1511,1475,36,2.38253,0,2572,0,10.0.34.3,10.0.23.2
